Raja,friend,Biju
Biju,friend,Raja
Vikram,friend,Biju
Biju,friend,Vikram
Raja,livesIn,MarineParade
Vikram,livesIn,MarineParade
Shaun,livesIn,MarineParade
Babu,livesIn,MarineParade
Biju,livesIn,TanjongRhu
Babu,likes,Football
Raja,friend,Vikram
Vikram,friend,Raja
MarineParade,livesIn,Raja
MarineParade,livesIn,Vikram
MarineParade,livesIn,Shaun
MarineParade,livesIn,Babu
Football,likes,Babu
Football,likes,Ajay
Ajay,likes,Football
Raja,friend,Ajay
Ajay,friend,Raja
MarineParade,livesIn,Ajay
Ajay,livesIn,MarineParade
Vikram,friend,Meena
Meena,friend,Vikram
TanjongRhu,livesIn,Biju
Biju,likes,Football
Football,likes,Biju
PoLin,friend,Vikram
Vikram,friend,PoLin
Esther,friend,Biju
Biju,friend,Esther
Meena,livesIn,TanjongRhu
TanjongRhu,livesIn,Meena
Esther,livesIn,TanjongRhu
TanjongRhu,livesIn,Esther
